marshall space flight center :368
earth orbit 3 in :8
early years of goddard :8
dulles international airport in :8
drome into orbit with :8
dr william e thornton :8
dr w randolph lovelace :8
dr s ichtiaque rasool :8
dr robert m white :8
dr noel w hinners :8
dr gordon j f :8
dr eugene b konecci :8
dr charles s sheldon :8
douglas aircraft co for :8
double asterisk by the :8
does not include all :8
dod and interagency affairs :8
div of general dynamics :8
director of univ of :8
director of planetary programs :8
director of aeronautical research :8
director bruce t lundin :8
directed by nasa office :8
died at the age :8
development of space shuttle :8
develop ment of the :8
designed and built the :8
design build and test :8
deputy director of flight :8
deputy administrator said in :8
dept of interior and :8
dept of defense announced :8
dept of aeronautics and :8
density pressure and temperature :8
density and pressure data :8
demonstration act of 1974 :8
defense satellite communications system :8
david r scott alfred :8
data were telemetered to :8
data were received from :8
data on satellites of :8
data had been obtained :8
data back to earth :8
dard space flight center :8
dana flew x15 no :8
d brand and donald :8
cosmonauts andrian g nikolayev :8
cosmo drome into orbit :8
corp under contract to :8
conveyed one or more :8
conrad jr dr joseph :8
conducted for gca corp :8
concorde supersonic transport aircraft :8
con struction of facilities :8
commander gen bernard a :8
command and data acquisition :8
coast and geodetic survey :8
co for construction of :8
churchill research range canada :8
chief of naval operations :8
chief of cosmonaut training :8
charles s sheldon 11 :8
chairman of the committee :8
chair man of the :8
center payload to a :8
center for space studies :8
carrying a goddard space :8
c seamans jr and :8
c conveyed one or :8
by titan iiibagena booster :8
by the united states :8
by the u s :8
by the senate committee :8
by the operations control :8
by the national academy :8
by the federal government :8
by sen william proxmire :8
by saturn v booster :8
by president nixon and :8
by nasaâ€™s office of :8
by nasa from wtr :8
by nasa from etr :8
by nasa for comsatcorp :8
by lockheed missiles space :8
by dr charles a :8
by atomic energy commission :8
by army corps of :8
but one of the :8
brand and donald k :8
both the us and :8
bisplinghoff nasa associate administrator :8
billion in fy 1971 :8
between the u s :8
better understanding of the :8
berry director of medical :8
bernard a schriever usaf :8
before a subcommittee of :8
been classified as unsuccessful :8
be used to study :8
be used by the :8
be responsible for planning :8
be included in the :8
be assistant secretary of :8
baykonur cosmodrome near tyuratam :8
bay st louis miss :8
barry m goldwater rariz :8
ats 6 applications technology :8
atomic energy commission and :8
atmospheric research program garp :8
atlasagena d launch vehicle :8
at wrightpatterson afb ohio :8
at the national space :8
at plum brook station :8
at nasa mississippi test :8
at goldstone tracking station :8
at 45000ft altitude and :8
astronomy experiment to a :8
astronauticsâ€™ subcommittee on nasa :8
astronauticsâ€™ sub committee on :8
astronautics and aeronautics 1911 :8
astronaut james b irwin :8
assistant administrator for legislative :8
as well as those :8
as referenced in the :8
as prime contractor for :8
as nasa deputy administrator :8
as deputy administrator of :8
as a function of :8
as a consultant to :8
arthur s flemming award :8
armstrong michael collins and :8
armstrong and edwin e :8
appropriations bill that included :8
appointed deputy director of :8
applied to national needs :8
applications of space technology :8
appear in abbreviated form :8
apollo spacecraft program office :8
apollo mission to date :8
apollo 17 astronauts eugene :8
apogee 206km 128mi perigee :8
apogee 200km 1243mi perigee :8
ap w star news :8
announced that nasa had :8
announced that it would :8
announced selection of general :8
announced it would launch :8
announced by manned spacecraft :8
andover me ground station :8
and will continue to :8
and valery n kubasov :8
and use of outer :8
and to obtain stability :8
and thomas p stafford :8
and the space shuttle :8
and the office of :8
and space report of :8
and service module csm :8
and pratt whitney div :8
and other agencies as :8
and operations at msc :8
and north american rockwell :8
and north american aviation :8
and mcdonnell douglas corp :8
and landing stol aircraft :8
and international news servicesâ€™ :8
and had been a :8
and develop ment of :8
and dept of defense :8
and dept of commerce :8
and david r scott :8
and data acquisition and :8
and cooling demonstration act :8
and checkout of the :8
and charles c alexander :8
and at the same :8
and astronauticsâ€™ sub committee :8
and aeronautics 1976 june :8
and aeronautics 1976 february :8
and aeronautics 1975 june :8
and aeronautics 1975 july :8
and aeronautics 1972 february :8
and aeronautics 1972 during :8
and aeronautics 1971 november :8
and aeronautics 1971 june :8
and aeronautics 1971 february :8
and aeronautics 1969 september :8
and aeronautics 1969 april :8
and aeronautics 1968 november :8
and aeronautics 1968 may :8
and aeronautics 1966 may :8
and aeronautics 1966 july :8
analysis of data from :8
an orbit with a :8
ames research center would :8
ames research center had :8
american geophysical union meeting :8
american air defense command :8
altitude to obtain data :8
altitude in test to :8
altitude in flight to :8
altitude in experiment to :8
all three crew members :8
all sources provided in :8
alabama space and rocket :8
airborne warning and control :8
air products and chemicals :8
air force base tex :8
agency for international development :8
afsc commander gen bernard :8
affairs and technology utilization :8
aeronautics and astronautics at :8
aecnasa space nuclear systems :8
adventures in research a :8
advanced vidicon camera system :8
advanced re search and :8
administrator for legislative affairs :8
academy of sciences to :8
about the same time :8
abbreviated form are listed :8
a total of about :8
a top speed of :8
a subcommittee of the :8
a p l l :8
a naval research laboratory :8
a manke successfully completed :8
a man to the :8
a malfunction in the :8
a double asterisk by :8
a domestic satellite system :8
a cost of about :8
a berry msc director :8
62 astronautics and aeronautics :8
6 ussr launched cosmos :8
6 applications technology satellite :8
6 4 astronautics and :8
4 ussr launched cosmos :8
4 astronauts gerald p :8
3 in lunar orbit :8
27 ussr launched cosmos :8
216 astronautics and aeronautics :8
210 astronautics and aeronautics :8
1971 independent offices and :8
166 astronautics and aeronautics :8
160 astronautics and aeronautics :8
16 ussr launched cosmos :8
150 astronautics and aeronautics :8
146 astronautics and aeronautics :8
1 launched july 23 :8
1 9 6 1 :8
∞the ussr launched cosmos :7
∞the energy research and :7
∞nasa launched a black :7
∞a new york times :7
∞ usaf announced it :7
∞ secretary of the :7
∞ president nixon accepted :7
∞ north american rockwell :7
∞ national academy of :7
∞ nasa would negotiate :7
∞ nasa nikecajun sounding :7
∞ nasa flight research :7
∞ nasa announced publication :7
∞ nasa and dod :7
∞ in new york :7
∞ house passed hr :7
∞ house and senate :7
∞ dr george e :7
∞ dr charles a :7
∞ dod announced award :7
∞ astronaut walter m :7
∞ apollo 8 astronaut :7
∞ air force systems :7
â€œone of the most :7
year and a half :7
xrays gamma rays and :7
x15 flight log f :7
x x x v :7
would serve as acting :7
would participate in the :7
would consist of a :7
would be turned over :7
would be restricted to :7
would be placed on :7
would be phased out :7
would be performed at :7
would be one of :7
would be more than :7
