total weight :2627
worldwide communications :10
working together :10
wind turbine :10
widest practicable :10
whitney aircraft :10
western australia :10
weight 50 :10
weather predictions :10
weather observation :10
washington university :10
walter l :10
vincent l :10
viii mission :10
venus mission :10
venus mars :10
vehicle reached :10
vehicle failed :10
vehicle design :10
vehicle 37 :10
valery bykovsky :10
valentina tereshkova :10
v total :10
v 1st :10
usns croatan :10
using nuclear :10
using nasas :10
using nasa :10
usaf pilot :10
usaf office :10
usaf manned :10
usaf atlas :10
upi ny :10
unmanned probes :10
university scientists :10
university affairs :10
unavailable 29 :10
un space :10
ultraviolet spectrometer :10
ulf merbold :10
twoyear study :10
twoman spacecraft :10
tv sets :10
tunnel tests :10
tucson ariz :10
transmit soviet :10
translunar coast :10
transfer lm :10
transearth injection :10
transcript otoole :10
total manhours :10
told senate :10
tokyo univ :10
thruster rockets :10
thordelta amr :10
thoradagena booster :10
thomas e :10
third test :10
third international :10
thermoelectric generator :10
text march :10
test stands :10
test model :10
test launch :10
temperature measurements :10
temperature density :10
teltsch nyt :10
telephone channels :10
telephone call :10
telegraph communications :10
technology testified :10
technology oast :10
technology needed :10
technically feasible :10
technical translations :10
technical memorandums :10
taking pictures :10
tactical communications :10
systems laboratory :10
synchronous satellite :10
surveyor lunar :10
surface samples :10
sunearth explorer :10
summarize total :10
sulfur dioxide :10
successful mission :10
successful demonstration :10
successful apollo :10
submarinelaunched ballistic :10
sub committee :10
study radiation :10
study feasibility :10
studies nasa :10
structural tests :10
strong winds :10
strategic weapons :10
stol transport :10
stockholm sweden :10
stellar uv :10
status summary :10
station nasa :10
star sept :10
stage sivb :10
st helens :10
ssr 103170 :10
sputnik iv :10
spokesman jerry :10
special publications :10
special bibliographies :10
spacelab experiments :10
spacecraft separation :10
spacecraft performed :10
spacecraft including :10
spacecraft hours :10
spacecraft equipment :10
spacecraft capable :10
spacecraft built :10
space ventures :10
space venture :10
space using :10
space sickness :10
space plasma :10
space objectives :10
space including :10
space debris :10
space crews :10
soyuz vi :10
soyuz ii :10
soviet rockets :10
soviet research :10
soviet astronomers :10
south vietnam :10
south african :10
sources provided :10
sources nuclear :10
solo flight :10
solidpropellant rockets :10
solar radio :10
solar processes :10
solar pointing :10
solar flux :10
skylab flight :10
six scientific :10
site selection :10
sister ship :10
simultaneous telephone :10
significant step :10
significant data :10
shuttles external :10
shuttle training :10
shuttle propulsion :10
short circuit :10
ship progress :10
sheldon ii :10
shall provide :10
service co :10
sensing techniques :10
senate subcommittee :10
senate adopted :10
sen warren :10
sen robert :10
sen charles :10
segundo calif :10
scout wtr :10
scientists representing :10
scientific sounding :10
scientific mission :10
scientific applications :10
scientific advances :10
sciences experiments :10
science nasa :10
science advisor :10
schriever afsc :10
scheduled airlines :10
schedule called :10
sband antenna :10
save money :10
saturn vehicle :10
saturn encounter :10
satellites designed :10
satellite nasa :10
satellite iras :10
satellite failed :10
satellite equipped :10
santiago chile :10
sac crew :10
s third :10
s o :10
s martin :10
rudder bias :10
ruby laser :10
royal aircraft :10
rotor blades :10
rosamond calif :10
rollsroyce ltd :10
rockwell internatl :10
rocket vehicles :10
rocket experiment :10
robert p :10
robert gilruth :10
robert d :10
rio grande :10
richard s :10
review letters :10
return safely :10
results thereof :10
resources monitoring :10
resources management :10
research results :10
research groups :10
research dr :10
rescue mission :10
reported seeing :10
reported completion :10
report nasa :10
rep thomas :10
rep miller :10
remarks st :10
relatively low :10
reentry speed :10
reenter earths :10
red china :10
record speed :10
recent months :10
receiving limited :10
realtime data :10
reached altitude :10
reach jupiter :10
ray telescope :10
raw materials :10
ranger spacecraft :10
radio energy :10
radio attenuation :10
radio astronomers :10
radar signal :10
radar reflectivity :10
radar observations :10
purely scientific :10
provide nasa :10
provide basic :10
propellant tank :10
projects gemini :10
project officer :10
produce electricity :10
problems associated :10
pro posals :10
private company :10
prime recovery :10
prime crewmen :10
previous space :10
press secretary :10
president mstislav :10
president charles :10
premier nikita :10
preliminary tests :10
preliminary designs :10
postlanding tv :10
position dr :10
polar orbiting :10
polar mission :10
planned space :10
pioneer vii :10
pilot fitzhugh :10
physiological effects :10
physical examination :10
photographic equipment :10
photograph cloud :10
period 11 :10
perigee 895min :10
perigee 889min :10
penetrate earths :10
payload contained :10
payload 22 :10
pavel popovich :10
paul g :10
patrick baudry :10
patrick air :10
patent policy :10
past mars :10
past jupiter :10
park service :10
parachute deployed :10
p u :10
oxygen atmosphere :10
original contract :10
organic material :10
orbiting frog :10
orbital maneuvering :10
orbital altitude :10
orbit including :10
officials reported :10
officials believed :10
officials announced :10
october 1979 :10
ocean surveillance :10
ocean surface :10
obtain ozone :10
observatory director :10
observatory astronomer :10
observation island :10
o c :10
nuclear radiation :10
nuclear attack :10
nrl scientists :10
nr space :10
november 1981 :10
november 1963 :10
notes information :10
norway carrying :10
nonprofit organizations :10
noise pollution :10
nixon accepted :10
nine minutes :10
nine experiments :10
nikecajun rockets :10
niagara falls :10
newsreview july :10
newspaper reported :10
news oct :10
news editorial :10
newly designed :10
neutral particle :10
network dsn :10
nearly circular :10
nearly 200 :10
nearly 100 :10
near tyuratam :10
navigation systems :10
nations largest :10
nasas saturn :10
nasas predecessor :10
nasas ogo :10
nasas lewis :10
nasa proposed :10
nasa postponed :10
nasa objective :10
nasa estimated :10
nasa distribution :10
nasa conducted :10
nasa aircraft :10
n m :10
multistage rocket :10
multiple launches :10
msfc msfc :10
msfc employees :10
msfc deputy :10
msc officials :10
motion pictures :10
moscow television :10
moscow domestic :10
moons gravitational :10
monroney dokla :10
monographs data :10
moffett field :10
missions beginning :10
mission studies :10
mission manager :10
mission july :10
mission hcmm :10
mission 61b :10
mission 51d :10
mission 51 :10
missile attack :10
mis sion :10
million times :10
military uses :10
military rd :10
military airlift :10
midway island :10
middleton nyt :10
mi west :10
meteorological research :10
meteorological earth :10
merit nasa :10
memorial institute :10
memorial fund :10
memorandums information :10
medical programs :10
mars july :10
march 1980 :10
mar z :10
mar mar :10
mar 23 :10
mar 16 :10
manned vehicle :10
manned landings :10
manned circumlunar :10
manmade objects :10
manager james :10
manager dr :10
management development :10
major test :10
major impact :10
major changes :10
major advances :10
main landing :10
madrid spain :10
mach 14 :10
mach 095 :10
m nixon :10
m across :10
lunar research :10
lunar programs :10
lunar probes :10
lunar gravity :10
lunar crater :10
luna xvii :10
luna v :10
luna 18 :10
longrange missile :10
located near :10
lightweight fighter :10
lightning strikes :10
leroy gordon :10
leonid kizim :10
left wing :10
lee r :10
law enforcement :10
launched recovered :10
launched 16 :10
launched 13 :10
launch preparations :10
launch director :10
launch crew :10
launch attempt :10
laser tracking :10
larc reported :10
language considered :10
landing training :10
landing facilities :10
landing craft :10
landing approach :10
landed near :10
lake nev :10
lake calif :10
labor commission :10
konstantin feoktistov :10
konstantin d :10
km apogee :10
km 60 :10
km 300 :10
kilo period :10
kenya africa :10
kagoshima space :10
jupiter encounter :10
june cosmos :10
june 1983 :10
june 1970 :10
joint lunar :10
joint flight :10
joint development :10
jan 12 :10
james d :10
j haughton :10
j haggerty :10
j eggers :10
j c :10
interstellar dust :10
interplanetary dust :10
international solar :10
international reported :10
international institute :10
international congress :10
international cometary :10
international carriers :10
international agreements :10
intercosmos council :10
interagency committee :10
intelsat iic :10
intelsat iia :10
instrument packages :10
initial flight :10
information receiving :10
information published :10
information necessary :10
information generated :10
information considered :10
information agency :10
inflatable sphere :10
industrial forum :10
include design :10
incli meters :10
improved intelsat :10
improved delta :10
impact assessment :10
im sure :10
illinois univ :10
ii total :10
ii orbiting :10
ii flight :10
ii balloon :10
ichtiaque rasool :10
hypersonic research :10
hydrogen cloud :10
human spirit :10
human environment :10
hrs 31 :10
hrs 30 :10
hrs 11 :10
hr 11271 :10
horizontal flight :10
highspeed data :10
highly reliable :10
highly efficient :10
highest honor :10
higher learning :10
henry wash :10
heliumfilled balloon :10
heatcapacity mapping :10
heat source :10
heat balance :10
harold masursky :10
half hour :10
haggerty jr :10
hadley rille :10
h truly :10
h j :10
gsfc wkly :10
gsfc experiments :10
gsfc aeronomy :10
ground level :10
ground computer :10
ground communications :10
global network :10
gen curtis :10
gemini manned :10
gemini agena :10
gathered data :10
g rickover :10
fy 1962 :10
future plans :10
further studies :10
further research :10
funds requested :10
funding level :10
fundamental research :10
fuel economy :10
french prototype :10
french president :10
foreign ministry :10
foreign governments :10
forced postponement :10
force secretary :10
force office :10
force col :10
force academy :10
following successful :10
fly aboard :10
fluid mechanics :10
flown aboard :10
florence guggenheim :10
flights beginning :10
flight trajectory :10
flight schedule :10
flight msc :10
flight ma8 :10
flight deck :10
flight controls :10
final flight :10
final countdown :10
fighter planes :10
fifth orbiter :10
fields solar :10
field near :10
field enterprises :10
federal systems :10
federal scientists :10
federal scientific :10
federal agency :10
february 29 :10
feb 23 :10
feb 1977 :10
f oconnor :10
extension brought :10
extended space :10
expressed confidence :10
explorer 45 :10
experiments nasa :10
experiment packages :10
experiment lacie :10
existing facilities :10
exhaust gases :10
exact cause :10
evaluation board :10
european industry :10
ernst stuhlinger :10
erc release :10
equatorial rocket :10
environmental monitoring :10
entire space :10
engineering research :10
engineering education :10
engine systems :10
engine fired :10
engine burned :10
energy rd :10
energy radiated :10
energy consumption :10
energetic particle :10
electronic devices :10
electromagnetic radiation :10
el segundo :10
eight times :10
eight minutes :10
edward p :10
economic problems :10
eastern space :10
earths climate :10
earth terminal :10
